Dataset,ROC-AUC,Breiman,Ancestor,Zhu
0_0_0_0,0.08749999999999998,1,1,1
0_0_0_1,0.5869565217391304,0,0,0
0_0_1_0,0.375,0.408248290463863,0,0
0_0_1_1,0,0,0,0
1_0_0_0,0.7,1,1,1
1_0_0_1,0,0.8036375634160796,0.6344086021505376,0.6344086021505376
1_0_1_0,0.35535714285714287,-0.009569487529386909,0.10198251271876418,0.07991870396935939
1_0_1_1,0.4545454545454546,0.4219921295772986,0.36749727368425095,0.3118872828619039
1_2_0_0,0.4065727699530517,0.36258249977367285,0.39718581960344235,0.4328124434235284
1_2_0_1,0.47254901960784307,0,0,0
1_2_1_0,0.6059523809523809,-0.08607954468476404,0.09974409009162168,-0.0022652511759148433
1_2_1_1,0.375,0.2041241452319315,0.2041241452319315,0.2041241452319315
1_3_0_0,0.7,0,0,0
1_3_0_1,0.5583333333333333,0,0,0
1_3_1_0,0.2545454545454546,0.21320071635561041,0,0
1_3_1_1,0,1,1,1
1_4_0_0,0,0,0,0
1_4_0_1,0.09166666666666667,0.4767312946227961,0.4767312946227961,0.4767312946227961
1_4_1_0,0.2727272727272727,0,0,0
1_4_1_1,0.3611111111111111,-0.15811388300841897,-0.15811388300841897,-0.15811388300841897
1_5_0_0,0.5,0.674199862463242,0.674199862463242,0.674199862463242
1_5_0_1,0.09999999999999998,0.44293978391414907,0.44293978391414907,0.5166666666666667
1_5_1_0,0.7222222222222223,0.45226701686664544,0.40967324519935133,0.40967324519935133
1_5_1_1,0.7976190476190476,-0.12869789041755736,-0.12869789041755736,-0.12869789041755736
2_0_0_0,0.39499999999999996,0,-0.1,-0.1
2_0_0_1,0.04210526315789474,0.7994358913389504,0.7994358913389504,0.7994358913389504
2_0_1_0,0.573529411764706,0.7437412283797918,0.5359891902758825,0.5622114365133506
2_0_1_1,0.625,0,0.0625,0.0625
2_1_0_0,0.5416666666666667,-0.08420413371357598,0.09356014857063996,-0.08420413371357598
2_1_0_1,0.11941056910569105,0.2586229833983457,0.28453894754952175,0.24987416913830335
2_1_1_0,0.08888888888888888,0.2857738033247041,0.5443310539518174,0.5443310539518174
2_1_1_1,0.49883177570093423,-0.11503470437503872,-0.10865180150141643,-0.12714439983219497
2_2_0_0,0.2777777777777778,-0.16666666666666666,-0.1111111111111111,-0.1111111111111111
2_2_0_1,0,0,0,0
2_2_1_0,0.1294642857142857,0.10798984943120776,0.06994546379906659,0.06725927091345493
2_2_1_1,0.16554054054054057,-0.006756756756756757,-0.011782931197481843,-0.011782931197481843
2_3_0_0,0.23076923076923078,0,0,0
2_3_0_1,0.23529411764705882,0.5110889315574835,0.6141708901868772,0.6141708901868772
2_3_1_0,0.15,0.5331242737186802,0.39573696328210756,0.46974730002408444
2_3_1_1,0.48275862068965514,-0.227429413073671,-0.23613418720162166,-0.227429413073671
2_4_0_0,0.3648648648648648,-0.14802101847447852,-0.12708061542245333,-0.12708061542245333
2_4_0_1,0.7535714285714286,0.13429711197830832,0.12145597060264703,0.12145597060264703
2_4_1_0,0.2525974025974026,0.2591702036151566,0.2591702036151566,0.20122269392484837
2_4_1_1,0.16791044776119407,-0.031676275494422396,-0.030542361089076306,-0.030542361089076306
2_5_0_0,0.3618012422360249,-0.31339520717850766,-0.24408665174479927,-0.24408665174479927
