Dataset,ROC-AUC,Breiman,Ancestor,Zhu
0_0_0_0,0,1,1,1
0_0_0_1,0.7608695652173912,1,1,1
0_0_1_0,0.14583333333333334,0.408248290463863,0.408248290463863,0.408248290463863
0_0_1_1,0.575,0,0,0
1_0_0_0,0.9,1,1,1
1_0_0_1,0,0.8172043010752689,0.8172043010752689,0.8172043010752689
1_0_1_0,0.3125000000000001,-0.13231403100624078,-0.14787119128764734,-0.14015297764534704
1_0_1_1,0.43939393939393945,0.043519413988924456,0.17461743292853735,0.2030905986149808
1_2_0_0,0.4798122065727703,0.3435098887144059,0.4813764602307478,0.46535416556667314
1_2_0_1,0.5294117647058824,0,0,0
1_2_1_0,0.5279761904761904,0.09974409009162168,0.20865621238292043,0.22833142591622524
1_2_1_1,0.475,0.2041241452319315,0.2041241452319315,0.2041241452319315
1_3_0_0,0.3,0,0,0
1_3_0_1,0.5,0,0.45643546458763845,0
1_3_1_0,0.6136363636363636,0.21320071635561041,0,0
1_3_1_1,0,1,1,1
1_4_0_0,0.16666666666666666,0,0,0
1_4_0_1,0.15833333333333335,0.4767312946227961,0.4767312946227961,0.4767312946227961
1_4_1_0,0.1818181818181818,0,0,0
1_4_1_1,0.5,0.05143444998736397,-0.05143444998736397,-0.05143444998736397
1_5_0_0,0.5,0,-0.13483997249264842,0
1_5_0_1,0.10833333333333335,0.6682951125722248,0.5352643613280604,0.44293978391414907
1_5_1_0,0.5791245791245792,0.4979295977319692,0.5477225575051662,0.4979295977319692
1_5_1_1,0.7559523809523809,0.0545544725589981,0.010218988991416097,0.010218988991416097
2_0_0_0,0.38249999999999995,-0.1,-0.1,-0.1
2_0_0_1,0.06315789473684212,0.7254762501100117,0.7994358913389504,0.7994358913389504
2_0_1_0,0.5656862745098039,0.6468024963880871,0.5622114365133506,0.5622114365133506
2_0_1_1,0.671875,0.4900980294098034,0.4900980294098034,0.4900980294098034
2_1_0_0,0.5357142857142857,0.025482359571881278,0.09356014857063996,0.09356014857063996
2_1_0_1,0.15523373983739835,0.2311382524065473,0.2418086985568836,0.1984185994935268
2_1_1_0,0.17222222222222222,0.5443310539518174,0.45643546458763845,0.5443310539518174
2_1_1_1,0.5388434579439251,0.013611109687645475,-0.026601775386727703,0.048199308314592
2_2_0_0,0.5,-0.1111111111111111,-0.16666666666666666,-0.16666666666666666
2_2_0_1,0,-0.006711409395973154,0,0
2_2_1_0,0.21875,0.07973847947023512,0.07545582668381749,0.07829472501953667
2_2_1_1,0.44256756756756754,-0.006756756756756757,-0.009587943645914632,-0.009587943645914632
2_3_0_0,0.15865384615384615,0,0,0
2_3_0_1,0.21160130718954254,0.6834676493307207,0.6834676493307207,0.658652814016432
2_3_1_0,0.07083333333333336,0.28313535891862623,0.3400683234975946,0.3400683234975946
2_3_1_1,0.31896551724137934,-0.12319093208157181,-0.1438715589936259,-0.11259433727776125
2_4_0_0,0.4009009009009008,0.005776391610111515,-0.08171738102717738,0.03303303303303303
2_4_0_1,0.8607142857142857,0.13914345926287408,0.11056796428113672,0.11227217828476796
2_4_1_0,0.3577922077922078,0.2326210525996177,0.17328240357990118,0.2326210525996177
2_4_1_1,0.5373134328358209,0.29004280786374814,0.22024409796080158,0.22024409796080158
2_5_0_0,0.36335403726708076,-0.15031806418926297,-0.21889453648082105,-0.15031806418926297
