Dataset,Breiman,Ancestor,Zhu
ACSF1,0.79,0.79,0.79
ACSF1,0.76,0.75,0.78
ACSF1,0.78,0.76,0.78
ACSF1,0.77,0.76,0.77
ACSF1,0.8,0.8,0.79
ACSF1,0.77,0.75,0.76
ACSF1,0.78,0.77,0.79
ACSF1,0.79,0.8,0.77
ACSF1,0.81,0.85,0.85
ACSF1,0.83,0.81,0.81
Adiac,0.6956521739130435,0.7033248081841432,0.6982097186700768
Adiac,0.6547314578005116,0.649616368286445,0.6547314578005116
Adiac,0.6828644501278772,0.6854219948849105,0.6930946291560103
Adiac,0.680306905370844,0.6854219948849105,0.6726342710997443
Adiac,0.7186700767263428,0.7186700767263428,0.7212276214833759
Adiac,0.6879795396419437,0.6879795396419437,0.690537084398977
Adiac,0.6828644501278772,0.6777493606138107,0.6751918158567775
Adiac,0.690537084398977,0.6854219948849105,0.6956521739130435
Adiac,0.7058823529411765,0.7135549872122762,0.7033248081841432
Adiac,0.6956521739130435,0.7033248081841432,0.6982097186700768
ArrowHead,0.7714285714285715,0.7657142857142857,0.7771428571428571
ArrowHead,0.8114285714285714,0.7828571428571428,0.8
ArrowHead,0.7885714285714286,0.7828571428571428,0.7828571428571428
ArrowHead,0.8114285714285714,0.8114285714285714,0.8171428571428572
ArrowHead,0.7942857142857143,0.7771428571428571,0.7942857142857143
ArrowHead,0.7885714285714286,0.7771428571428571,0.7714285714285715
ArrowHead,0.8285714285714286,0.7828571428571428,0.7942857142857143
ArrowHead,0.7942857142857143,0.7942857142857143,0.8
ArrowHead,0.8,0.8057142857142857,0.8114285714285714
ArrowHead,0.7657142857142857,0.7771428571428571,0.7828571428571428
BME,0.8266666666666667,0.8533333333333334,0.8466666666666667
BME,0.84,0.8333333333333334,0.84
BME,0.8133333333333334,0.8066666666666666,0.8133333333333334
BME,0.8,0.8,0.8
BME,0.8466666666666667,0.8533333333333334,0.8466666666666667
BME,0.84,0.84,0.8333333333333334
BME,0.8133333333333334,0.8066666666666666,0.8133333333333334
BME,0.84,0.8333333333333334,0.86
BME,0.7933333333333333,0.8,0.8
BME,0.8333333333333334,0.8266666666666667,0.84
Beef,0.6666666666666666,0.6666666666666666,0.6666666666666666
Beef,0.7333333333333333,0.7333333333333333,0.7
Beef,0.6333333333333333,0.6,0.6
Beef,0.6,0.6,0.6
Beef,0.6666666666666666,0.6333333333333333,0.6333333333333333
Beef,0.6666666666666666,0.7,0.7
Beef,0.6333333333333333,0.6666666666666666,0.6
Beef,0.7333333333333333,0.6333333333333333,0.7
Beef,0.6666666666666666,0.6666666666666666,0.7
Beef,0.6666666666666666,0.6,0.6
BeetleFly,0.75,0.8,0.8
BeetleFly,0.8,0.75,0.8
BeetleFly,0.85,0.9,0.75
BeetleFly,0.85,0.85,0.9
BeetleFly,0.75,0.85,0.85
BeetleFly,0.75,0.75,0.75
BeetleFly,0.7,0.8,0.75
BeetleFly,0.8,0.8,0.8
BeetleFly,0.7,0.8,0.8
BeetleFly,0.65,0.75,0.75
BirdChicken,0.85,0.85,0.9
BirdChicken,0.8,0.7,0.65
BirdChicken,0.7,0.65,0.75
BirdChicken,0.8,0.8,0.85
BirdChicken,0.85,0.85,0.85
BirdChicken,0.85,0.75,0.8
BirdChicken,0.75,0.75,0.75
BirdChicken,0.8,0.8,0.75
BirdChicken,0.8,0.8,0.8
BirdChicken,0.8,0.75,0.8
CBF,0.9788888888888889,0.9833333333333333,0.9811111111111112
CBF,0.9811111111111112,0.9877777777777778,0.9833333333333333
CBF,0.9777777777777777,0.9788888888888889,0.9833333333333333
CBF,0.9877777777777778,0.99,0.99
CBF,0.98,0.9866666666666667,0.9855555555555555
CBF,0.9722222222222222,0.9833333333333333,0.9766666666666667
CBF,0.9877777777777778,0.9833333333333333,0.9866666666666667
CBF,0.9855555555555555,0.9844444444444445,0.9844444444444445
CBF,0.98,0.9811111111111112,0.9788888888888889
CBF,0.9788888888888889,0.9766666666666667,0.97
Car,0.85,0.8666666666666667,0.85
Car,0.8166666666666667,0.8666666666666667,0.85
Car,0.8,0.8,0.7833333333333333
Car,0.8,0.8166666666666667,0.7833333333333333
Car,0.85,0.8833333333333333,0.8666666666666667
Car,0.8333333333333334,0.8666666666666667,0.85
Car,0.8333333333333334,0.8166666666666667,0.8166666666666667
Car,0.8166666666666667,0.8333333333333334,0.8333333333333334
Car,0.8333333333333334,0.8333333333333334,0.8166666666666667
Car,0.8,0.8166666666666667,0.85
Chinatown,0.9125364431486881,0.9271137026239067,0.924198250728863
Chinatown,0.9008746355685131,0.9096209912536443,0.9096209912536443
Chinatown,0.9125364431486881,0.9125364431486881,0.9183673469387755
Chinatown,0.9154518950437318,0.9154518950437318,0.9125364431486881
Chinatown,0.9037900874635568,0.9067055393586005,0.9008746355685131
Chinatown,0.9271137026239067,0.9183673469387755,0.9212827988338192
Chinatown,0.9067055393586005,0.9067055393586005,0.9067055393586005
Chinatown,0.9037900874635568,0.9037900874635568,0.9067055393586005
Chinatown,0.9154518950437318,0.9154518950437318,0.924198250728863
Chinatown,0.9008746355685131,0.9037900874635568,0.9096209912536443
ChlorineConcentration,0.6682291666666667,0.66640625,0.6669270833333333
ChlorineConcentration,0.68203125,0.6828125,0.6815104166666667
ChlorineConcentration,0.671875,0.6747395833333333,0.6736979166666667
ChlorineConcentration,0.6747395833333333,0.6796875,0.6778645833333333
ChlorineConcentration,0.6651041666666667,0.6630208333333333,0.6661458333333333
ChlorineConcentration,0.6809895833333334,0.68359375,0.6817708333333333
ChlorineConcentration,0.6755208333333333,0.671875,0.6765625
ChlorineConcentration,0.66796875,0.6716145833333333,0.6734375
ChlorineConcentration,0.67890625,0.6765625,0.6796875
ChlorineConcentration,0.6708333333333333,0.6692708333333334,0.6734375
CinCECGTorso,0.9594202898550724,0.9543478260869566,0.9623188405797102
CinCECGTorso,0.9557971014492753,0.9543478260869566,0.9586956521739131
CinCECGTorso,0.9565217391304348,0.9528985507246377,0.9594202898550724
CinCECGTorso,0.9492753623188406,0.9478260869565217,0.9550724637681159
CinCECGTorso,0.9615942028985507,0.9586956521739131,0.9623188405797102
CinCECGTorso,0.9594202898550724,0.9608695652173913,0.9623188405797102
CinCECGTorso,0.9565217391304348,0.9514492753623188,0.9572463768115942
CinCECGTorso,0.9623188405797102,0.9659420289855073,0.967391304347826
