dataset,accuracy_rf,accuracy_breiman,accuracy_ancestor,accuracy_zhu
ACSF1,0.7474747474747475,0.8080808080808081,0.797979797979798,0.8181818181818182
Adiac,0.6461538461538462,0.6871794871794872,0.7076923076923077,0.7153846153846154
AllGestureWiimoteX,0.5919540229885057,0.6839080459770115,0.7586206896551724,0.6954022988505747
AllGestureWiimoteY,0.9328859060402684,0.9798657718120806,0.9328859060402684,0.9731543624161074
AllGestureWiimoteZ,0.7931034482758621,0.6896551724137931,0.6551724137931034,0.6206896551724138
ArrowHead,0.8947368421052632,0.7368421052631579,0.7894736842105263,0.8947368421052632
BME,0.47368421052631576,0.7894736842105263,0.5789473684210527,0.5263157894736842
Beef,0.9510567296996663,0.9899888765294772,0.9810901001112347,0.9799777530589544
BeetleFly,0.711864406779661,0.7796610169491526,0.8135593220338984,0.7796610169491526
BirdChicken,0.7631578947368421,0.8216374269005848,0.7982456140350878,0.8187134502923976
CBF,0.6783016410523574,0.748632456368846,0.7507163323782235,0.7603542589215941
Car,0.7469180565627266,0.9405366207396664,0.9369108049311095,0.934010152284264
Chinatown,0.9629629629629629,0.9629629629629629,0.8518518518518519,0.8888888888888888
ChlorineConcentration,0.714859437751004,0.6947791164658634,0.6867469879518072,0.6907630522088354
CinCECGTorso,0.5912596401028277,0.6606683804627249,0.6246786632390745,0.6452442159383034
Coffee,0.6246786632390745,0.6452442159383034,0.6298200514138818,0.6478149100257069
Computers,0.609254498714653,0.6760925449871465,0.6632390745501285,0.6812339331619537
CricketX,0.7325436037859396,0.7442109649383892,0.7265313411512591,0.7286743258527293
CricketY,0.8786885245901639,0.9606557377049181,0.940983606557377,0.9344262295081968
CricketZ,0.7463768115942029,0.7536231884057971,0.7753623188405797,0.7681159420289855
Crop,0.76,0.7272727272727273,0.76,0.76
DiatomSizeReduction,0.7028985507246377,0.6739130434782609,0.644927536231884,0.6594202898550725
DistalPhalanxOutlineAgeGroup,0.8181818181818182,0.8585858585858586,0.8484848484848485,0.8484848484848485
DistalPhalanxOutlineCorrect,0.9353189597688375,0.9368748610802401,0.9359857746165815,0.938208490775728
DistalPhalanxTW,0.7662790697674419,0.8232558139534883,0.7662790697674419,0.7895348837209303
DodgerLoopDay,0.4986149584487535,0.5207756232686981,0.5096952908587258,0.5069252077562327
DodgerLoopGame,0.4376731301939058,0.48753462603878117,0.48753462603878117,0.4903047091412742
DodgerLoopWeekend,0.7463768115942029,0.7391304347826086,0.7463768115942029,0.7391304347826086
ECG200,0.6910505836575875,0.6780804150453956,0.633852140077821,0.6636835278858625
ECG5000,0.4529058116232465,0.4849699398797595,0.47695390781563124,0.48096192384769537
ECGFiveDays,0.7217288336293665,0.7264653641207816,0.7211367673179396,0.7306098283007697
EOGHorizontalSignal,0.6781609195402298,0.9655172413793104,0.9310344827586207,0.9540229885057471
EOGVerticalSignal,0.826256710590532,0.8662762323084432,0.8662762323084432,0.8740849194729137
Earthquakes,0.6784140969162996,0.711453744493392,0.6806167400881057,0.6960352422907489
ElectricDevices,0.7816091954022989,0.7931034482758621,0.7758620689655172,0.8045977011494253
EthanolLevel,0.756633813495072,0.7384382107657316,0.6974981046247157,0.7172100075815011
FaceAll,0.6131025957972805,0.6452410383189122,0.6019777503090235,0.6242274412855378
FaceFour,0.9656019656019657,0.9926289926289926,0.987012987012987,0.9891189891189891
FacesUCR,0.8315198315198316,0.8395928395928396,0.7507897507897507,0.7564057564057564
FiftyWords,0.745945945945946,0.827027027027027,0.827027027027027,0.8432432432432433
Fish,0.9530201342281879,0.959731543624161,0.9731543624161074,0.9731543624161074
FordA,0.9714285714285714,0.9968253968253968,0.9936507936507937,0.9968253968253968
FordB,0.9714285714285714,1,0.9904761904761905,1
FreezerRegularTrain,0.9840764331210191,0.9840764331210191,0.4745222929936306,0.4745222929936306
FreezerSmallTrain,0.7596153846153846,0.6826923076923077,0.7019230769230769,0.7115384615384616
Fungi,0.9051490514905149,0.9051490514905149,0.8970189701897019,0.907859078590786
GestureMidAirD1,0.43322475570032576,0.42996742671009774,0.4201954397394137,0.40716612377850164
GestureMidAirD2,0.5714285714285714,0.49206349206349204,0.5714285714285714,0.5238095238095238
GestureMidAirD3,0.7966101694915254,0.8220338983050848,0.8305084745762712,0.8220338983050848
GesturePebbleZ1,0.31876138433515483,0.3679417122040073,0.366120218579235,0.3697632058287796
GesturePebbleZ2,0.8225806451612904,0.9717741935483871,0.3548387096774194,0.3548387096774194
GunPoint,0.8266129032258065,0.9798387096774194,0.3548387096774194,0.3548387096774194
GunPointAgeSpan,0.6321374431531076,0.6063668519454269,0.5922182920667004,0.5982819605861546
GunPointMaleVersusFemale,0.9620622568093385,0.9513618677042801,0.953307392996109,0.9494163424124513
GunPointOldVersusYoung,0.5614973262032086,0.5427807486631016,0.5668449197860963,0.553475935828877
Ham,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
HandOutlines,0.7222222222222222,0.7777777777777778,0.7638888888888888,0.7638888888888888
Haptics,0.7764505119453925,0.9300341296928327,0.9313139931740614,0.9321672354948806
Herring,0.9152542372881356,0.9152542372881356,0.9830508474576272,0.9661016949152542
HouseTwenty,0.7009222661396575,0.7760210803689065,0.7733860342555995,0.7852437417654808
InlineSkate,0.5490196078431373,0.5294117647058824,0.5294117647058824,0.5359477124183006
InsectEPGRegularTrain,0.8275862068965517,0.8172413793103448,0.8103448275862069,0.7965517241379311
InsectEPGSmallTrain,0.5424836601307189,0.48366013071895425,0.477124183006536,0.49673202614379086
InsectWingbeatSound,0.9047029702970297,0.9071782178217822,0.9026402640264026,0.908003300330033
ItalyPowerDemand,0.8114686468646864,0.8320957095709571,0.8329207920792079,0.8407590759075908
LargeKitchenAppliances,0.8689048760991207,0.8409272581934453,0.7889688249400479,0.7873701039168665
Lightning2,0.8716904276985743,0.8742362525458248,0.8615071283095723,0.8665987780040734
Lightning7,0.8991853360488798,0.905295315682281,0.9058044806517311,0.9114052953156823
Mallat,0.5435684647302904,0.6265560165975104,0.6016597510373444,0.6224066390041494
Meat,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931
MedicalImages,0.8156359393232205,0.7876312718786465,0.7864644107351225,0.7829638273045507
MelbournePedestrian,0.20052770448548812,0.1783641160949868,0.1783641160949868,0.16200527704485487
MiddlePhalanxOutlineAgeGroup,0.21739130434782608,0.2463768115942029,0.25120772946859904,0.24154589371980675
MiddlePhalanxOutlineCorrect,0.2608695652173913,0.3285024154589372,0.2898550724637681,0.3140096618357488
MiddlePhalanxTW,0.19806763285024154,0.24154589371980675,0.21739130434782608,0.2318840579710145
MixedShapesRegularTrain,0.9903846153846154,0.9903846153846154,0.9903846153846154,0.9903846153846154
MixedShapesSmallTrain,0.9888268156424581,1,0.994413407821229,1
MoteStrain,0.8480392156862745,0.8186274509803921,0.8235294117647058,0.8333333333333334
NonInvasiveFetalECGThorax1,0.8517241379310345,0.8448275862068966,0.8551724137931035,0.8482758620689655
NonInvasiveFetalECGThorax2,0.8137254901960784,0.7794117647058824,0.7892156862745098,0.7843137254901961
OSULeaf,0.5427807486631016,0.5641711229946524,0.5320855614973262,0.5267379679144385
OliveOil,0.5918367346938775,0.8367346938775511,0.7959183673469388,0.7959183673469388
PLAID,0.4572192513368984,0.42245989304812837,0.4117647058823529,0.41711229946524064
PhalangesOutlinesCorrect,0.8480801335559266,0.8647746243739566,0.8781302170283807,0.8764607679465777
Phoneme,0.7416481069042317,0.7973273942093542,0.799554565701559,0.7906458797327395
PickupGestureWiimoteZ,0.7906458797327395,0.8485523385300668,0.8574610244988864,0.8574610244988864
PigAirwayPressure,0.41899441340782123,0.5139664804469274,0.4860335195530726,0.4581005586592179
PigArtPressure,0.7529215358931552,0.7996661101836394,0.7712854757929883,0.7696160267111853
PigCVP,0.8315508021390374,0.8101604278074866,0.7967914438502673,0.8048128342245989
Plane,0.9664429530201343,0.959731543624161,0.9530201342281879,0.959731543624161
PowerCons,0.5166666666666667,0.7683333333333333,0.595,0.6216666666666667
ProximalPhalanxOutlineAgeGroup,0.8098739495798319,0.8550420168067226,0.8046218487394958,0.8224789915966386
ProximalPhalanxOutlineCorrect,0.9564055859137827,0.9624772313296903,0.9585913782635094,0.9606557377049181
