Dataset,Breiman,Ancestor,Zhu
ACSF1,0.797979797979798,0.7676767676767676,0.7777777777777778
Adiac,0.617948717948718,0.6,0.6128205128205129
AllGestureWiimoteX,0.30042918454935624,0.31187410586552217,0.33476394849785407
AllGestureWiimoteY,0.36194563662374823,0.3876967095851216,0.41630901287553645
AllGestureWiimoteZ,0.26895565092989987,0.35050071530758226,0.34620886981402005
ArrowHead,0.6724137931034483,0.6724137931034483,0.6724137931034483
BME,0.7181208053691275,0.6912751677852349,0.697986577181208
Beef,0.6896551724137931,0.6551724137931034,0.6896551724137931
BeetleFly,0.5789473684210527,0.631578947368421,0.5789473684210527
BirdChicken,0.631578947368421,0.631578947368421,0.631578947368421
CBF,0.9065628476084538,0.8843159065628476,0.8976640711902113
Car,0.7966101694915254,0.7457627118644068,0.7288135593220338
Chinatown,0.9649122807017544,0.9532163742690059,0.9532163742690059
ChlorineConcentration,0.6595467569679604,0.6535556134410002,0.6538160979421724
CinCECGTorso,0.8491660623640319,0.8440899202320522,0.8491660623640319
Coffee,0.8888888888888888,0.8518518518518519,0.8518518518518519
Computers,0.606425702811245,0.5903614457831325,0.5742971887550201
CricketX,0.6118251928020566,0.5886889460154242,0.6015424164524421
CricketY,0.6118251928020566,0.6246786632390745,0.6349614395886889
CricketZ,0.6118251928020566,0.6066838046272494,0.622107969151671
Crop,0.7289719626168224,0.7305196737901065,0.7300434549675576
DiatomSizeReduction,0.898360655737705,0.9278688524590164,0.9311475409836065
DistalPhalanxOutlineAgeGroup,0.6739130434782609,0.6739130434782609,0.6739130434782609
DistalPhalanxOutlineCorrect,0.7381818181818182,0.72,0.7272727272727273
DistalPhalanxTW,0.572463768115942,0.572463768115942,0.5942028985507246
DodgerLoopDay,0.46835443037974683,0.45569620253164556,0.45569620253164556
DodgerLoopGame,0.656934306569343,0.6058394160583942,0.6423357664233577
DodgerLoopWeekend,0.9854014598540146,0.9854014598540146,0.9854014598540146
ECG200,0.8686868686868687,0.8787878787878788,0.8585858585858586
ECG5000,0.9297621693709713,0.926205823516337,0.9264280951322517
ECGFiveDays,0.8081395348837209,0.8174418604651162,0.8151162790697675
EOGHorizontalSignal,0.3573407202216066,0.3518005540166205,0.3684210526315789
EOGVerticalSignal,0.296398891966759,0.2742382271468144,0.2853185595567867
Earthquakes,0.7318840579710145,0.717391304347826,0.6956521739130435
ElectricDevices,0.5182879377431907,0.5413748378728923,0.5391699092088197
EthanolLevel,0.3026052104208417,0.27655310621242485,0.2785571142284569
FaceAll,0.7282415630550622,0.7347542924807579,0.7371225577264654
FaceFour,0.896551724137931,0.8850574712643678,0.896551724137931
FacesUCR,0.810639336261591,0.8125915080527086,0.8150317227916056
FiftyWords,0.6762114537444934,0.6784140969162996,0.6718061674008811
Fish,0.7586206896551724,0.7528735632183908,0.7586206896551724
FordA,0.6724791508718726,0.6626231993934799,0.6709628506444276
FordB,0.5599505562422744,0.5512978986402967,0.5574783683559951
FreezerRegularTrain,0.9276939276939277,0.9297999297999298,0.9336609336609336
FreezerSmallTrain,0.7086697086697087,0.7104247104247104,0.7128817128817129
Fungi,0.772972972972973,0.8108108108108109,0.7837837837837838
GestureMidAirD1,0.5658914728682171,0.5271317829457365,0.5348837209302325
GestureMidAirD2,0.35658914728682173,0.43410852713178294,0.4496124031007752
GestureMidAirD3,0.3488372093023256,0.31007751937984496,0.3178294573643411
GesturePebbleZ1,0.7543859649122807,0.7777777777777778,0.7953216374269005
GesturePebbleZ2,0.643312101910828,0.7261146496815286,0.7388535031847133
GunPoint,0.9328859060402684,0.9664429530201343,0.9530201342281879
GunPointAgeSpan,0.9936507936507937,0.9936507936507937,0.9904761904761905
GunPointMaleVersusFemale,0.9904761904761905,0.9873015873015873,0.9873015873015873
GunPointOldVersusYoung,1,1,1
Ham,0.6346153846153846,0.5865384615384616,0.6153846153846154
HandOutlines,0.8726287262872628,0.8563685636856369,0.8563685636856369
Haptics,0.36482084690553745,0.3811074918566775,0.3713355048859935
Herring,0.49206349206349204,0.4603174603174603,0.49206349206349204
HouseTwenty,0.7033898305084746,0.6694915254237288,0.6949152542372882
InlineSkate,0.36429872495446264,0.36247723132969034,0.36065573770491804
InsectEPGRegularTrain,0.9959677419354839,1,1
InsectEPGSmallTrain,0.9959677419354839,0.9919354838709677,0.9959677419354839
InsectWingbeatSound,0.5861546235472461,0.5876705406771097,0.5891864578069732
ItalyPowerDemand,0.9357976653696498,0.9309338521400778,0.9328793774319066
LargeKitchenAppliances,0.46524064171123,0.45989304812834225,0.4625668449197861
Lightning2,0.7333333333333333,0.7333333333333333,0.7666666666666667
Lightning7,0.6527777777777778,0.6666666666666666,0.6666666666666666
Mallat,0.863481228668942,0.8583617747440273,0.8647610921501706
Meat,0.9152542372881356,0.9322033898305084,0.9152542372881356
MedicalImages,0.7167325428194994,0.7048748353096179,0.7101449275362319
MelbournePedestrian,0.9634946677604594,0.9643150123051681,0.963084495488105
MiddlePhalanxOutlineAgeGroup,0.5424836601307189,0.5032679738562091,0.5294117647058824
MiddlePhalanxOutlineCorrect,0.7310344827586207,0.7413793103448276,0.7413793103448276
MiddlePhalanxTW,0.47058823529411764,0.49019607843137253,0.48366013071895425
MixedShapesRegularTrain,0.903052805280528,0.893976897689769,0.8948019801980198
