Dataset,Breiman,Ancestor,Zhu
ACSF1,0.5959595959595959,0.6363636363636364,0.6262626262626263
Adiac,0.7051282051282052,0.717948717948718,0.7256410256410256
AllGestureWiimoteX,0.5164520743919886,0.5493562231759657,0.5379113018597997
AllGestureWiimoteY,0.5278969957081545,0.5622317596566524,0.5493562231759657
AllGestureWiimoteZ,0.413447782546495,0.41917024320457796,0.43061516452074394
ArrowHead,0.7528735632183908,0.7586206896551724,0.7528735632183908
BME,0.8993288590604027,0.8993288590604027,0.9060402684563759
Beef,0.7586206896551724,0.7241379310344828,0.7241379310344828
BeetleFly,0.8947368421052632,0.8947368421052632,0.8947368421052632
BirdChicken,0.7368421052631579,0.7368421052631579,0.7368421052631579
CBF,0.9944382647385984,0.9955506117908788,0.9955506117908788
Car,0.711864406779661,0.711864406779661,0.711864406779661
Chinatown,0.9590643274853801,0.8947368421052632,0.8947368421052632
ChlorineConcentration,0.7009637926543371,0.6999218546496484,0.7053920291742641
CinCECGTorso,0.9274836838288615,0.9354604786076868,0.934010152284264
Coffee,1,1,1
Computers,0.6867469879518072,0.6827309236947792,0.678714859437751
CricketX,0.6606683804627249,0.6838046272493573,0.6838046272493573
CricketY,0.6683804627249358,0.6683804627249358,0.6683804627249358
CricketZ,0.6709511568123393,0.6915167095115681,0.6786632390745502
Crop,0.7350437526043216,0.7252812667420679,0.7264718137984404
DiatomSizeReduction,0.9377049180327869,0.9442622950819672,0.9639344262295082
DistalPhalanxOutlineAgeGroup,0.7246376811594203,0.7608695652173914,0.7391304347826086
DistalPhalanxOutlineCorrect,0.7563636363636363,0.730909090909091,0.7454545454545455
DistalPhalanxTW,0.6594202898550725,0.6376811594202898,0.6376811594202898
DodgerLoopDay,0.620253164556962,0.6075949367088608,0.5949367088607594
DodgerLoopGame,0.8394160583941606,0.8394160583941606,0.8321167883211679
DodgerLoopWeekend,0.9854014598540146,0.9781021897810219,0.9781021897810219
ECG200,0.8585858585858586,0.8686868686868687,0.8686868686868687
ECG5000,0.9373194043120694,0.9386530340075573,0.9388753056234719
ECGFiveDays,0.9046511627906977,0.8476744186046512,0.8662790697674418
EOGHorizontalSignal,0.5124653739612188,0.5152354570637119,0.518005540166205
EOGVerticalSignal,0.47645429362880887,0.48753462603878117,0.46814404432132967
Earthquakes,0.7463768115942029,0.7463768115942029,0.7391304347826086
ElectricDevices,0.6719844357976654,0.6643320363164721,0.6618677042801556
EthanolLevel,0.46292585170340683,0.49298597194388777,0.4909819639278557
