Dataset,Breiman,Ancestor,Zhu
ACSF1,0.5252525252525253,0.47474747474747475,0.494949494949495
Adiac,0.5820512820512821,0.5820512820512821,0.5794871794871795
AllGestureWiimoteX,0.2804005722460658,0.2947067238912732,0.28469241773962806
AllGestureWiimoteY,0.32045779685264664,0.290414878397711,0.3104434907010014
AllGestureWiimoteZ,0.2088698140200286,0.2246065808297568,0.23032904148783978
ArrowHead,0.735632183908046,0.7298850574712644,0.735632183908046
BME,0.7919463087248322,0.7919463087248322,0.7986577181208053
Beef,0.5172413793103449,0.5172413793103449,0.5517241379310345
BeetleFly,0.7368421052631579,0.7368421052631579,0.7894736842105263
BirdChicken,0.631578947368421,0.5789473684210527,0.5789473684210527
CBF,0.9922135706340378,0.9888765294771968,0.9922135706340378
Car,0.7627118644067796,0.7627118644067796,0.7627118644067796
Chinatown,0.9122807017543859,0.9064327485380117,0.8976608187134503
ChlorineConcentration,0.6306329773378484,0.6251628028132327,0.6288095858296432
CinCECGTorso,0.8614938361131255,0.8665699782451052,0.8665699782451052
Coffee,0.9629629629629629,0.9629629629629629,0.9629629629629629
Computers,0.5823293172690763,0.5742971887550201,0.5863453815261044
CricketX,0.6246786632390745,0.6272493573264781,0.622107969151671
CricketY,0.6015424164524421,0.6349614395886889,0.6452442159383034
CricketZ,0.6375321336760925,0.6478149100257069,0.6529562982005142
Crop,0.7111137567712363,0.7202809691053039,0.7219477349842253
DiatomSizeReduction,0.9606557377049181,0.9573770491803278,0.9573770491803278
DistalPhalanxOutlineAgeGroup,0.6811594202898551,0.6956521739130435,0.6884057971014492
DistalPhalanxOutlineCorrect,0.6909090909090909,0.7381818181818182,0.7418181818181818
DistalPhalanxTW,0.5942028985507246,0.6159420289855072,0.5869565217391305
DodgerLoopDay,0.5063291139240507,0.4810126582278481,0.5063291139240507
DodgerLoopGame,0.7883211678832117,0.8248175182481752,0.8467153284671532
DodgerLoopWeekend,0.9781021897810219,0.9781021897810219,0.9708029197080292
ECG200,0.8686868686868687,0.8686868686868687,0.8686868686868687
ECG5000,0.9288730829073127,0.9257612802845077,0.9257612802845077
ECGFiveDays,0.8930232558139535,0.8813953488372093,0.891860465116279
EOGHorizontalSignal,0.42105263157894735,0.42105263157894735,0.4155124653739612
EOGVerticalSignal,0.3545706371191136,0.3601108033240997,0.3545706371191136
Earthquakes,0.7463768115942029,0.7246376811594203,0.6956521739130435
ElectricDevices,0.6147859922178989,0.6142671854734112,0.6158236057068742
EthanolLevel,0.3587174348697395,0.374749498997996,0.3687374749498998
FaceAll,0.7489638839550029,0.7554766133806986,0.753700414446418
FaceFour,0.9080459770114943,0.896551724137931,0.8850574712643678
FacesUCR,0.8755490483162518,0.87701317715959,0.87701317715959
FiftyWords,0.7158590308370044,0.7070484581497798,0.7136563876651982
Fish,0.6551724137931034,0.6609195402298851,0.6666666666666666
FordA,0.6497346474601972,0.6709628506444276,0.6823351023502654
FordB,0.580964153275649,0.5933250927070457,0.5933250927070457
FreezerRegularTrain,0.9750789750789751,0.9761319761319761,0.9754299754299754
FreezerSmallTrain,0.8392418392418393,0.8304668304668305,0.8311688311688312
Fungi,0.8324324324324325,0.8216216216216217,0.8324324324324325
GestureMidAirD1,0.4806201550387597,0.46511627906976744,0.46511627906976744
GestureMidAirD2,0.40310077519379844,0.3875968992248062,0.3953488372093023
GestureMidAirD3,0.31007751937984496,0.31007751937984496,0.29457364341085274
GesturePebbleZ1,0.8070175438596491,0.8421052631578947,0.8421052631578947
GesturePebbleZ2,0.7707006369426752,0.7643312101910829,0.7707006369426752
GunPoint,0.9530201342281879,0.9463087248322147,0.9530201342281879
GunPointAgeSpan,0.9968253968253968,0.9936507936507937,0.9904761904761905
GunPointMaleVersusFemale,0.9873015873015873,0.9841269841269841,0.9904761904761905
GunPointOldVersusYoung,1,1,1
Ham,0.6346153846153846,0.6153846153846154,0.6538461538461539
HandOutlines,0.8482384823848238,0.8292682926829268,0.8238482384823849
Haptics,0.38762214983713356,0.38436482084690554,0.3941368078175896
Herring,0.5238095238095238,0.47619047619047616,0.47619047619047616
HouseTwenty,0.7796610169491526,0.7288135593220338,0.7288135593220338
InlineSkate,0.3879781420765027,0.36429872495446264,0.37522768670309653
InsectEPGRegularTrain,0.9959677419354839,0.9959677419354839,0.9959677419354839
InsectEPGSmallTrain,0.8911290322580645,0.8911290322580645,0.8629032258064516
InsectWingbeatSound,0.5548256695300657,0.5416877210712481,0.5528044466902476
ItalyPowerDemand,0.9552529182879378,0.9513618677042801,0.9503891050583657
LargeKitchenAppliances,0.5668449197860963,0.5401069518716578,0.5347593582887701
Lightning2,0.8833333333333333,0.8833333333333333,0.8833333333333333
Lightning7,0.7638888888888888,0.7777777777777778,0.7638888888888888
Mallat,0.9104095563139932,0.91339590443686,0.912542662116041
Meat,0.9322033898305084,0.9322033898305084,0.9322033898305084
MedicalImages,0.7444005270092227,0.7404479578392622,0.7470355731225297
MelbournePedestrian,0.9474979491386383,0.9479081214109926,0.9495488105004102
MiddlePhalanxOutlineAgeGroup,0.5098039215686274,0.477124183006536,0.45751633986928103
MiddlePhalanxOutlineCorrect,0.7620689655172413,0.7689655172413793,0.7586206896551724
MiddlePhalanxTW,0.46405228758169936,0.49019607843137253,0.477124183006536
MixedShapesRegularTrain,0.9117161716171617,0.9088283828382838,0.908003300330033
MixedShapesSmallTrain,0.8506600660066007,0.8448844884488449,0.8465346534653465
MoteStrain,0.812150279776179,0.8089528377298162,0.8057553956834532
NonInvasiveFetalECGThorax1,0.8029531568228105,0.820264765784114,0.8228105906313645
NonInvasiveFetalECGThorax2,0.835030549898167,0.8472505091649695,0.8441955193482689
OSULeaf,0.5892116182572614,0.5767634854771784,0.5975103734439834
OliveOil,0.8620689655172413,0.8275862068965517,0.8275862068965517
PLAID,0.4216417910447761,0.4123134328358209,0.4141791044776119
PhalangesOutlinesCorrect,0.750291715285881,0.7537922987164527,0.750291715285881
Phoneme,0.14986807387862797,0.14775725593667546,0.1525065963060686
PickupGestureWiimoteZ,0.4897959183673469,0.4489795918367347,0.5102040816326531
PigAirwayPressure,0.14492753623188406,0.1497584541062802,0.14492753623188406
PigArtPressure,0.34782608695652173,0.3285024154589372,0.3526570048309179
PigCVP,0.18357487922705315,0.178743961352657,0.17391304347826086
Plane,0.9807692307692307,0.9807692307692307,0.9807692307692307
PowerCons,0.994413407821229,0.994413407821229,0.994413407821229
ProximalPhalanxOutlineAgeGroup,0.7843137254901961,0.7549019607843137,0.7598039215686274
ProximalPhalanxOutlineCorrect,0.7931034482758621,0.7896551724137931,0.7827586206896552
ProximalPhalanxTW,0.6862745098039216,0.6862745098039216,0.6862745098039216
RefrigerationDevices,0.48128342245989303,0.4679144385026738,0.4679144385026738
Rock,0.6938775510204082,0.6938775510204082,0.6938775510204082
